name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
씨엘관광농원글램핑,글램핑A-9,1,경기 안산시 단원구 대부황금로 976,147500,4.28,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,5,0,0,0,0,1,0,0,0,0,0,3,0,0,3,1,0,0,5,0,0,2,0,0,0,0,0,0,2,0,0,2,4
씨엘관광농원글램핑,글램핑A-10,1,경기 안산시 단원구 대부황금로 976,147500,4.32,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,10,0,0,1,0,3,0,0,0,0,0,5,0,0,4,1,0,0,6,0,0,7,0,2,1,3,0,3,3,0,0,2,4
씨엘관광농원글램핑,글램핑A-11,1,경기 안산시 단원구 대부황금로 976,147500,4.18,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,1,0,0,0,2,1,2,0,2,4
씨엘관광농원글램핑,글램핑A-12,1,경기 안산시 단원구 대부황금로 976,147500,4.61,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,7,0,0,2,0,1,0,2,0,0,0,1,0,2,4
씨엘관광농원글램핑,글램핑B-1,1,경기 안산시 단원구 대부황금로 976,147500,4.58,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,2,4
씨엘관광농원글램핑,글램핑B-2,1,경기 안산시 단원구 대부황금로 976,147500,4.39,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3,0,0,0,0,3,0,0,0,0,0,2,0,0,5,2,0,0,5,0,0,1,0,1,0,3,0,1,0,0,0,2,4
씨엘관광농원글램핑,글램핑B-3,1,경기 안산시 단원구 대부황금로 976,147500,3.79,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,4,0,0,1,0,3,0,0,0,0,0,2,0,0,3,1,0,0,6,0,0,0,0,1,0,4,0,0,2,0,0,2,4
씨엘관광농원글램핑,글램핑B-4,1,경기 안산시 단원구 대부황금로 976,147500,4.15,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,3,0,0,0,0,2,0,0,0,0,0,3,0,0,1,1,0,0,3,0,0,3,0,1,0,2,0,2,0,3,0,2,4
씨엘관광농원글램핑,글램핑B-5,1,경기 안산시 단원구 대부황금로 976,147500,4.12,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,2,0,3,0,2,0,2,2,2,0,2,4
씨엘관광농원글램핑,글램핑B-6,1,경기 안산시 단원구 대부황금로 976,147500,3.79,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,1,0,2,0,1,0,2,1,0,0,2,4
씨엘관광농원글램핑,글램핑B-7,1,경기 안산시 단원구 대부황금로 976,147500,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,4,0,0,0,0,3,0,0,0,0,0,4,0,0,1,1,0,0,2,0,0,1,0,1,0,4,0,1,0,0,0,2,4
씨엘관광농원글램핑,글램핑B-8,1,경기 안산시 단원구 대부황금로 976,147500,4.43,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,5,0,0,1,0,6,0,0,0,0,0,3,0,0,4,1,0,0,4,0,0,1,0,3,0,2,0,2,0,0,0,2,4
씨엘관광농원글램핑,글램핑B-9,1,경기 안산시 단원구 대부황금로 976,147500,4.3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,3,0,0,0,0,3,0,0,0,0,0,2,0,0,3,1,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,2,4
씨엘관광농원글램핑,글램핑B-10,1,경기 안산시 단원구 대부황금로 976,147500,4.07,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,2,4
씨엘관광농원글램핑,글램핑B-11,1,경기 안산시 단원구 대부황금로 976,147500,4.33,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,2,0,1,0,2,4
씨엘관광농원글램핑,글램핑B-12,1,경기 안산시 단원구 대부황금로 976,147500,3.89,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,3,0,0,2,0,4,0,0,0,0,0,5,0,0,2,3,0,0,3,0,0,0,0,4,0,1,0,0,2,0,0,2,4
씨엘관광농원글램핑,글램핑C-1,1,경기 안산시 단원구 대부황금로 976,177500,4,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,5,0,0,0,0,9,0,0,0,0,0,8,0,0,5,2,0,0,9,0,0,0,0,2,1,4,0,0,3,0,0,2,4
씨엘관광농원글램핑,글램핑C-2,1,경기 안산시 단원구 대부황금로 976,177500,4.5,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,3,4,0,0,0,0,7,0,0,0,0,0,4,0,0,3,1,0,0,4,0,0,0,0,1,0,2,0,0,1,0,0,2,4
씨엘관광농원글램핑,글램핑C-3,1,경기 안산시 단원구 대부황금로 976,177500,5,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,3,2,0,0,1,0,7,0,0,0,0,0,6,0,0,4,1,0,0,8,0,0,0,0,1,0,1,0,0,2,1,0,2,4
