name,roomname,homepage,location,maxprice,minprice,price,people,ranking,time,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy
유식물원캠핑장,돈키호테 글램핑,https://cafe.naver.com/irishills,경기 포천시 신북면 간자동길 138-100,"150,000원","109,000원",,기준 2인 (최대 4인),"별점
4.6/5","영업시간
입실 09:00퇴실 12:00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,2,0,4,0,0,0,0,0,17,0,0,3,12,0,0,12,0,0,3,0,24,4,3,0,14,2,4,0
유식물원캠핑장,스페셜 글램핑,https://cafe.naver.com/irishills,경기 포천시 신북면 간자동길 138-100,"129,000원","79,000원",,기준 2인 (최대 4인),"별점
3.4/5","영업시간
입실 09:00퇴실 12:00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,0,0,4,0,7,0,0,0,0,0,34,0,0,17,18,0,0,18,0,0,8,0,27,9,19,0,22,2,8,0
솔내음캠핑장,글램핑 A-1,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0
솔내음캠핑장,글램핑 A-2,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
솔내음캠핑장,글램핑 A-3,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
솔내음캠핑장,글램핑 A-4,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
솔내음캠핑장,글램핑 A-5,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
솔내음캠핑장,글램핑 A-6,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
솔내음캠핑장,글램핑 B-1,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0
솔내음캠핑장,글램핑 B-2,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,3,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
솔내음캠핑장,글램핑 B-3,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
솔내음캠핑장,글램핑 B-4,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
솔내음캠핑장,글램핑 B-5,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
솔내음캠핑장,글램핑 C-1,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
솔내음캠핑장,글램핑 C-2,http://solnaeumcamping.com/,경기 수원시 권선구 칠보로 2,"270,000원","150,000원",,기준 2인 (최대 4인),"별점
4.68","영업시간
입실 15:00퇴실 11:00",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,1,0,2,0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
